time,x,y,z
19:39.2,-1.531982,3.092773,-1.00708
19:39.2,-1.993408,2.159424,-0.705811
19:39.2,-2.785645,1.014404,0.124268
19:39.3,-3.637939,-0.34668,1.567627
19:39.3,-3.9646,-2.764648,4.025879
19:39.3,-0.700928,-5.880615,5.23291
19:39.3,4.187744,-7.875244,4.240479
19:39.3,5.066162,-7.927979,2.143311
19:39.3,2.816895,-6.15332,0.667969
19:39.3,0.805176,-3.734619,0.8479
19:39.3,0.263672,-2.048584,1.744385
19:39.3,0.257568,-1.222168,2.260254
19:39.3,0.215576,-0.923584,1.992676
19:39.4,0.046387,-0.811523,1.422119
19:39.4,0.051514,-0.860596,0.905762
19:39.4,0.133057,-0.907715,0.579834
19:39.4,0.15918,-0.841064,0.490479
19:39.4,0.064941,-0.79126,0.496094
19:39.4,-0.209961,-0.817627,0.550537
19:39.4,-0.693115,-0.830078,0.68042
19:39.4,-1.274658,-0.849854,0.778809
19:39.4,-1.896973,-0.628662,0.337891
19:39.4,-2.57373,0.388672,-0.956299
19:39.5,-3.078125,2.236816,-1.86499
19:39.5,-3.489746,4.502441,-2.003662
19:39.5,-3.293945,5.562988,-2.001709
19:39.5,-2.965576,4.583008,-2.026123
19:39.5,-3.461426,2.67749,-1.740234
19:39.5,-4.356689,0.753418,-0.784424
19:39.5,-5.601563,-0.917969,0.91626
19:39.5,-6.238281,-3.193604,3.441895
19:39.5,-4.404053,-6.416992,6.671631
19:39.5,1.137939,-8,7.496094
19:39.6,5.032471,-8,4.723633
19:39.6,3.388428,-7.249756,1.39624
19:39.6,0.871826,-4.403564,-0.026123
19:39.6,-0.181885,-2.033203,1.174072
19:39.6,-0.171387,-0.833008,2.44458
19:39.6,-0.252441,-0.360596,2.143799
19:39.6,-0.363281,-0.213379,1.397949
19:39.6,-0.241943,-0.285645,1.01001
19:39.6,-0.119141,-0.379639,0.716797
19:39.6,-0.060303,-0.385254,0.42627
19:39.7,0.014404,-0.385742,0.273438
19:39.7,0.031006,-0.342529,0.293213
19:39.7,-0.015137,-0.293701,0.396484
19:39.7,-0.066895,-0.245117,0.486328
19:39.7,-0.142578,-0.206055,0.528564
19:39.7,-0.233643,-0.204346,0.501221
19:39.7,-0.279785,-0.224365,0.428467
19:39.7,-0.282471,-0.236572,0.375732
19:39.7,-0.250488,-0.268066,0.341553
19:39.7,-0.182861,-0.353516,0.312012
19:39.8,-0.116211,-0.436279,0.351807
19:39.8,-0.04248,-0.52124,0.394043
19:39.8,-0.006348,-0.558594,0.469971
19:39.8,0.001465,-0.584961,0.518311
19:39.8,0.003174,-0.595215,0.599121
19:39.8,0.014648,-0.595459,0.677979
19:39.8,-0.002197,-0.614502,0.776611
19:39.8,0.003174,-0.651367,0.908203
19:39.8,0.041016,-0.718262,1.064453
19:39.8,0.110352,-0.799072,1.192627
19:39.9,0.200684,-0.889648,1.238525
19:39.9,0.238281,-0.944092,1.211914
19:39.9,0.230469,-0.952881,1.145508
19:39.9,0.181152,-0.934326,1.067627
19:39.9,0.135254,-0.901611,0.990967
19:39.9,0.089111,-0.854736,0.913574
19:39.9,0.044434,-0.80957,0.821777
19:39.9,0.030273,-0.780273,0.746338
19:39.9,0.015137,-0.781006,0.685547
19:39.9,0,-0.765381,0.624512
19:40.0,-0.015137,-0.75,0.562988
19:40.0,-0.04541,-0.749756,0.547607
19:40.0,-0.07666,-0.75,0.516602
19:40.0,-0.092285,-0.75,0.516602
19:40.0,-0.108398,-0.751465,0.486816
19:40.0,-0.110352,-0.723389,0.470459
19:40.0,-0.095947,-0.67749,0.453125
19:40.0,-0.080566,-0.646484,0.464844
19:40.0,-0.065186,-0.602051,0.495605
19:40.0,-0.049805,-0.551514,0.51123
19:40.1,-0.035889,-0.547607,0.536865
19:40.1,-0.010254,-0.531738,0.594727
19:40.1,0.050293,-0.54248,0.656738
19:40.1,0.088135,-0.556641,0.720215
19:40.1,0.105469,-0.584961,0.76709
19:40.1,0.120605,-0.616211,0.825684
19:40.1,0.135986,-0.64502,0.889893
19:40.1,0.149414,-0.686035,0.941162
19:40.1,0.174805,-0.74292,0.979248
19:40.1,0.226807,-0.82373,0.987793
19:40.2,0.231201,-0.873047,0.976807
19:40.2,0.194092,-0.871338,0.951172
19:40.2,0.123291,-0.828613,0.908203
19:40.2,0.039795,-0.791748,0.856445
19:40.2,-0.015381,-0.761719,0.832031
19:40.2,-0.064453,-0.723877,0.820801
19:40.2,-0.087158,-0.724854,0.794434
19:40.2,-0.115723,-0.74585,0.764893
19:40.2,-0.127197,-0.753418,0.72583
19:40.2,-0.122559,-0.746582,0.667969
19:40.3,-0.132568,-0.709961,0.602295
19:40.3,-0.151611,-0.663086,0.547852
19:40.3,-0.155273,-0.604736,0.507568
19:40.3,-0.165527,-0.54834,0.494629
19:40.3,-0.17334,-0.514648,0.506836
19:40.3,-0.180664,-0.469482,0.519531
19:40.3,-0.14502,-0.450195,0.552734
19:40.3,-0.072021,-0.442139,0.600586
19:40.3,-0.022705,-0.439941,0.657715
19:40.3,-0.011963,-0.461182,0.709229
19:40.4,-0.011475,-0.514404,0.762207
19:40.4,-0.033447,-0.613525,0.883545
19:40.4,-0.048828,-0.718506,0.999756
19:40.4,-0.008301,-0.859619,1.077148
19:40.4,0.029053,-1.034668,1.125
19:40.4,0.033203,-1.175293,1.132324
19:40.4,0.019043,-1.284668,1.144531
19:40.4,0.075439,-1.408447,1.18042
19:40.4,0.161133,-1.543945,1.20459
19:40.4,0.207031,-1.633545,1.181885
19:40.5,0.271973,-1.672852,1.158447
19:40.5,0.253906,-1.673828,1.131348
19:40.5,0.200928,-1.637207,1.119385
19:40.5,0.141602,-1.563721,1.098145
19:40.5,0.063721,-1.478271,1.066162
19:40.5,0.002197,-1.375732,1.026123
19:40.5,-0.014893,-1.30835,0.995117
19:40.5,0.067627,-1.342041,1.000732
19:40.5,0.176514,-1.455322,0.928223
19:40.5,0.252441,-1.629639,0.743652
19:40.6,0.283203,-1.75293,0.55957
19:40.6,0.163818,-1.750977,0.413818
19:40.6,-0.009521,-1.654053,0.348877
19:40.6,-0.107178,-1.497559,0.444824
19:40.6,-0.354736,-1.452637,0.568359
19:40.6,-0.831543,-1.471191,0.663086
19:40.6,-1.929443,-2.012207,1.083984
19:40.6,-4.162109,-2.71875,1.457031
19:40.6,-6.311035,-1.59082,0.47583
19:40.6,-7.168945,2.648682,-1.718018
19:40.7,-7.531738,7.999756,-3.677002
19:40.7,-6.94458,7.999756,-2.616211
19:40.7,-6.509521,7.488281,-3.755127
19:40.7,-7.577393,2.862061,-2.898193
19:40.7,-8,-2.022461,-0.488525
19:40.7,-8,-5.307617,3.285889
19:40.7,-7.91333,-8,7.565674
19:40.7,-4.967773,-8,7.999756
19:40.7,6.4375,-8,7.756348
19:40.7,5.500488,-8,4.11792
19:40.8,0.801025,-7.773193,0.65625
19:40.8,-1.216064,-2.903809,2.699463
19:40.8,-1.129395,-0.9729,3.805908
