Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
25:20.7,-0.37915,0.265137,0.322754
25:20.7,-0.573486,0.252441,0.351074
25:20.7,-0.753418,0.401855,0.41626
25:20.7,-1.116211,0.50293,0.417969
25:20.7,-1.554199,0.404053,0.475098
25:20.8,-1.828369,0.037354,0.568359
25:20.8,-1.916504,-0.368896,0.672363
25:20.8,-1.992432,-1.006592,0.981445
25:20.8,-2.227295,-2.066406,1.442383
25:20.8,-2.610107,-3.408447,1.922363
25:20.8,-2.861572,-3.703857,1.882568
25:20.8,-2.78125,-3.444092,1.352539
25:20.8,-2.89917,-2.659424,1.028564
25:20.8,-3.525879,-0.903809,0.904541
25:20.8,-4.893311,1.491943,1.073486
25:20.9,-6.916016,5.174316,1.710449
25:20.9,-6.971191,7.999756,2.631348
25:20.9,-2.98999,7.984375,3.686035
25:20.9,1.63208,7.991455,3.916992
25:20.9,3.47998,7.936035,2.992432
25:20.9,1.890137,7.105957,0.7771
25:20.9,1.276123,5.082764,-1.966064
25:20.9,0.722656,3.503174,-2.529297
25:20.9,0.748535,2.92041,-1.814941
25:20.9,0.442627,2.585693,-0.561279
25:21.0,-0.058594,1.99585,0.120117
25:21.0,-0.511719,1.384766,0.404541
25:21.0,-0.682373,0.79541,0.456787
25:21.0,-0.607178,0.352783,0.455566
25:21.0,-0.397217,0.155273,0.417725
25:21.0,-0.204346,0.076172,0.300781
25:21.0,-0.114258,0.032959,0.136475
25:21.0,-0.061523,0.060303,-0.011719
25:21.0,0.025391,0.176025,-0.047363
25:21.0,0.066895,0.341309,-0.040039
25:21.1,0.111328,0.479248,-0.009033
25:21.1,0.133301,0.58667,0.018799
25:21.1,0.106445,0.658447,0.051025
25:21.1,0.071533,0.734375,0.055908
25:21.1,0.114502,0.82666,0.094727
25:21.1,0.188965,0.935059,0.118408
25:21.1,0.232422,1.030518,0.095947
25:21.1,0.241455,1.114746,0.030518
25:21.1,0.257324,1.163086,-0.01709
25:21.1,0.276611,1.177734,-0.010498
25:21.2,0.277588,1.167969,-0.00708
25:21.2,0.257813,1.142822,0.026367
25:21.2,0.244141,1.111328,0.130615
25:21.2,0.218262,1.071777,0.197266
25:21.2,0.193115,1.022705,0.210938
25:21.2,0.177246,0.973389,0.237305
25:21.2,0.169922,0.937012,0.255371
25:21.2,0.171875,0.894287,0.243164
25:21.2,0.171875,0.867676,0.223633
25:21.2,0.171875,0.830078,0.214844
25:21.3,0.171875,0.810059,0.228027
25:21.3,0.174072,0.802734,0.235596
25:21.3,0.161865,0.797607,0.227295
25:21.3,0.152588,0.784424,0.259766
25:21.3,0.16626,0.787842,0.302979
25:21.3,0.170654,0.805908,0.327393
25:21.3,0.18457,0.821777,0.322998
25:21.3,0.17749,0.837646,0.287354
25:21.3,0.170898,0.851074,0.29248
25:21.3,0.171875,0.880371,0.286377
25:21.4,0.174072,0.901367,0.282471
25:21.4,0.160156,0.91626,0.271729
25:21.4,0.157715,0.934326,0.257324
25:21.4,0.141846,0.935791,0.225098
25:21.4,0.1521,0.949707,0.219482
25:21.4,0.158691,0.955566,0.206299
25:21.4,0.141602,0.938477,0.202637
25:21.4,0.153076,0.949951,0.204834
25:21.4,0.154785,0.953369,0.19165
25:21.4,0.167725,0.953125,0.172119
25:21.5,0.183838,0.953125,0.18335
25:21.5,0.201172,0.951416,0.199707
25:21.5,0.201904,0.965576,0.217041
25:21.5,0.217041,0.98291,0.221191
25:21.5,0.217529,0.985596,0.188965
25:21.5,0.233154,0.970703,0.203613
25:21.5,0.235107,0.954834,0.175293
25:21.5,0.219482,0.939453,0.141846
25:21.5,0.218506,0.908203,0.140381
